Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Consumption_model
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.03807945882840148,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,12.32077710967629,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008396529392767117,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.003055741815599557,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.041396383307944e-06,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.031032289304195864,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IT,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.06724481985079295,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,10.824677422967293,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.006570224821262661,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0025427598685303222,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,8.785168840043168e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.028182470784402856,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,NL,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.062281275995906556,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,18.991970145061767,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.010860307816394393,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.004136911993242813,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.133456164111251e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.04847607095090976,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,TR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.0981502096032705,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,KR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,16.275474837964495,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,KR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.015583520166206791,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,KR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.004924700253933703,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,KR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,6.10061336043086e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,KR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.04337427303365385,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,KR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.08818235913886846,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.550696503194551,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008578430329380701,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.002998081668520141,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.0475287142957863e-06,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.028148299234097895,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.06127250935688648,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,28.016720015888602,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014543626539788756,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005572169136773358,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.834255796404032e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.0706552220332628,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.12904876790431127,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,15.246197979639547,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014129359815224719,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.004442932601531696,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,6.600266647069301e-07,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.03803580311146653,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.0779706101698927,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,US,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,12.36754981815328,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,US,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.011038973263821252,2000,kastner
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,US,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0033051742608276374,2000,kastner
