Year,Mineral,Producer_region,Consumer_region,type,value
2017,aluminium,Rest of Asia,Europe,Embodied,0.0123003209453195
2017,aluminium,Rest of Asia,GCC,Embodied,0.0003078467781950579
2017,aluminium,Rest of Asia,North America,Embodied,0.0021409485778960697
2017,aluminium,Rest of Asia,Oceania,Embodied,5.492304366266041e-06
2017,aluminium,Rest of Asia,Rest of Asia,Domestic,0.045166091732274045
2017,aluminium,Rest of Asia,Rest of Asia,Embodied,0.01801078536936589
2017,aluminium,Rest of Asia,South America,Embodied,0.0023407937359618213
2017,aluminium,South America,Africa,Embodied,8.139853824748338e-07
2017,aluminium,South America,China,Embodied,8.175964532217185e-06
2017,aluminium,South America,Europe,Embodied,0.0005648483683591418
2017,aluminium,South America,GCC,Embodied,1.8744135055665228e-07
2017,aluminium,South America,North America,Embodied,0.0049102553943549876
2017,aluminium,South America,Oceania,Embodied,4.72407449868938e-07
2017,aluminium,South America,Rest of Asia,Embodied,0.003032027227482939
2017,aluminium,South America,South America,Domestic,0.012797292693547511
2017,aluminium,South America,South America,Embodied,0.0017299424260994983
2017,bauxite,Africa,Africa,Domestic,0.018945622441147038
2017,bauxite,Africa,Africa,Embodied,9.064421399361961e-05
2017,bauxite,Africa,China,Embodied,0.09190065257849836
2017,bauxite,Africa,Europe,Embodied,0.046714710560685366
2017,bauxite,Africa,GCC,Embodied,2.229017421417146e-05
2017,bauxite,Africa,North America,Embodied,0.0005177462750906971
2017,bauxite,Africa,Oceania,Embodied,2.7781625448290763e-06
2017,bauxite,Africa,Rest of Asia,Embodied,0.0022875181075974237
2017,bauxite,Africa,South America,Embodied,0.0007941622507900752
2017,bauxite,China,Africa,Embodied,9.304134647439472e-06
2017,bauxite,China,China,Domestic,0.22572266058213217
2017,bauxite,China,Europe,Embodied,0.0003025362044457403
2017,bauxite,China,GCC,Embodied,2.7393543320827e-07
2017,bauxite,China,North America,Embodied,0.00016342530728053639
2017,bauxite,China,Oceania,Embodied,5.4375022669307516e-06
2017,bauxite,China,Rest of Asia,Embodied,7.548986861435451e-05
2017,bauxite,China,South America,Embodied,0.00025955556345213994
2017,bauxite,Europe,Africa,Embodied,7.354384714049282e-05
2017,bauxite,Europe,China,Embodied,0.001508936777619886
2017,bauxite,Europe,Europe,Domestic,0.02857848130820801
2017,bauxite,Europe,Europe,Embodied,0.0019283753483952067
2017,bauxite,Europe,GCC,Embodied,0.0001826679428930594
2017,bauxite,Europe,North America,Embodied,0.0009296896871859241
2017,bauxite,Europe,Oceania,Embodied,9.980365234546995e-08
2017,bauxite,Europe,Rest of Asia,Embodied,0.00022125866049992702
2017,bauxite,Europe,South America,Embodied,0.00010790798985088001
2017,bauxite,GCC,Africa,Embodied,3.5575256445420022e-12
2017,bauxite,GCC,China,Embodied,7.045324476220032e-08
2017,bauxite,GCC,Europe,Embodied,2.776564032772627e-08
2017,bauxite,GCC,GCC,Domestic,0.015071190957060412
2017,bauxite,GCC,GCC,Embodied,5.7547209115004584e-11
2017,bauxite,GCC,North America,Embodied,1.2340084534776188e-09
2017,bauxite,GCC,Oceania,Embodied,3.1245942656539055e-10
2017,bauxite,GCC,Rest of Asia,Embodied,4.0328286268086875e-09
2017,bauxite,GCC,South America,Embodied,1.4349118739979775e-10
2017,bauxite,Oceania,Africa,Embodied,3.578365440674981e-06
2017,bauxite,Oceania,China,Embodied,0.08678252775688099
2017,bauxite,Oceania,Europe,Embodied,0.000468476530602577
2017,bauxite,Oceania,GCC,Embodied,4.369292394053835e-07
2017,bauxite,Oceania,North America,Embodied,0.0006831908853978214
