Location,Stage,Score,Rel_Score,Year,Method_name,Midpoint,Midpoint_abb,Unit
GLO,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AR,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GR,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CM,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IR,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GH,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RO,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
MY,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BH,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AZ,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BA,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RU,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NZ,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
EG,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
TJ,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
OM,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SA,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
US,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BR,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NL,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ZA,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IS,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
NG,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
FR,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GB,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
