Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year
ecoinvent 3.4 cutoff to edit,213418c6635b46c89fde40897dca1d95,alumina production,SK,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.009558492776356405,2000
ecoinvent 3.4 cutoff to edit,edad57abc5514eac98a6e27e787e7fc1,alumina production,CN,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,5.373651017837013,2000
ecoinvent 3.4 cutoff to edit,edad57abc5514eac98a6e27e787e7fc1,alumina production,CN,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0016040027290559291,2000
ecoinvent 3.4 cutoff to edit,edad57abc5514eac98a6e27e787e7fc1,alumina production,CN,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0007257070619001104,2000
ecoinvent 3.4 cutoff to edit,edad57abc5514eac98a6e27e787e7fc1,alumina production,CN,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.3654995805204466e-07,2000
ecoinvent 3.4 cutoff to edit,edad57abc5514eac98a6e27e787e7fc1,alumina production,CN,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.014017659662822795,2000
ecoinvent 3.4 cutoff to edit,edad57abc5514eac98a6e27e787e7fc1,alumina production,CN,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.03113537467901973,2000
ecoinvent 3.4 cutoff to edit,2d559051cc4741b598302ba4b0765e0c,alumina production,IR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,2.389453650007015,2000
ecoinvent 3.4 cutoff to edit,2d559051cc4741b598302ba4b0765e0c,alumina production,IR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0008709689201318756,2000
ecoinvent 3.4 cutoff to edit,2d559051cc4741b598302ba4b0765e0c,alumina production,IR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0003291116946292636,2000
ecoinvent 3.4 cutoff to edit,2d559051cc4741b598302ba4b0765e0c,alumina production,IR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.9312786350823066e-07,2000
