Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Trade_data_type
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,KR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.08795307835031886,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.350903322816565,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.008157329512034399,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.002899842326372812,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.003438555017371e-06,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.02811063237944708,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.06164977636849814,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,27.999323036518046,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014523969899113916,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005564822794142967,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.849426771278944e-07,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.07054726899436468,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,IN,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.12890012303717158,2000,imports
ecoinvent 3.4 cutoff to edit,market for consumption of aluminium,market for consumption of aluminium,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,15.274081850573088,2000,imports
