Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Type
ecoinvent 3.4 cutoff to edit,1926fabc0667490bbee0d869e62bb3e3,"aluminium production, primary, ingot",SR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.274501208241873e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,1926fabc0667490bbee0d869e62bb3e3,"aluminium production, primary, ingot",SR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.018549530879863656,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,1926fabc0667490bbee0d869e62bb3e3,"aluminium production, primary, ingot",SR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.04051614480342103,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,15.89996802597369,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0016446612531962257,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.001382641372148012,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.219950411516778e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.02656937131725709,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,4e58aa2e10b6455ea1aaa6d8720716b3,"aluminium production, primary, ingot",AE,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.04477433271564437,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9907ab9d4ac740b18f8868412b136a27,"aluminium production, primary, ingot",TR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,26.620915936273683,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9907ab9d4ac740b18f8868412b136a27,"aluminium production, primary, ingot",TR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.014198796938845792,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9907ab9d4ac740b18f8868412b136a27,"aluminium production, primary, ingot",TR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.005397231509965972,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9907ab9d4ac740b18f8868412b136a27,"aluminium production, primary, ingot",TR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,5.573346977880206e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9907ab9d4ac740b18f8868412b136a27,"aluminium production, primary, ingot",TR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.06705599749560302,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9907ab9d4ac740b18f8868412b136a27,"aluminium production, primary, ingot",TR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.11979471824938051,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,a4e5fc6bf7dd488ca9112cbb6daea551,"aluminium production, primary, ingot",NZ,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,20.23688712692887,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,a4e5fc6bf7dd488ca9112cbb6daea551,"aluminium production, primary, ingot",NZ,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.03117121678672367,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,a4e5fc6bf7dd488ca9112cbb6daea551,"aluminium production, primary, ingot",NZ,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.008236898308143685,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,a4e5fc6bf7dd488ca9112cbb6daea551,"aluminium production, primary, ingot",NZ,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,4.456437047073993e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,a4e5fc6bf7dd488ca9112cbb6daea551,"aluminium production, primary, ingot",NZ,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.04568044187212665,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,a4e5fc6bf7dd488ca9112cbb6daea551,"aluminium production, primary, ingot",NZ,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.08861869430924033,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9d621cf9692b46c59ecc074e268545c6,"aluminium production, primary, ingot",GR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.42931884857833,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9d621cf9692b46c59ecc074e268545c6,"aluminium production, primary, ingot",GR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.009107393383376383,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9d621cf9692b46c59ecc074e268545c6,"aluminium production, primary, ingot",GR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0030482755789633838,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9d621cf9692b46c59ecc074e268545c6,"aluminium production, primary, ingot",GR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.550140486443323e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,9d621cf9692b46c59ecc074e268545c6,"aluminium production, primary, ingot",GR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.026277713886988824,2000,globalized_for_alumina
