Year,Category,Region,value
1988,AC,GCC,ND
1988,DC,GCC,ND
1989,AC,GCC,ND
1989,DC,GCC,ND
1990,AC,GCC,ND
1990,DC,GCC,ND
1991,AC,GCC,ND
1991,DC,GCC,ND
1992,AC,GCC,ND
1992,DC,GCC,ND
1993,AC,GCC,ND
1993,DC,GCC,ND
1994,AC,GCC,ND
1994,DC,GCC,ND
1995,AC,GCC,ND
1995,DC,GCC,ND
1996,AC,GCC,ND
1996,DC,GCC,ND
1997,AC,GCC,ND
1997,DC,GCC,ND
1998,AC,GCC,ND
1998,DC,GCC,ND
1999,AC,GCC,ND
1999,DC,GCC,ND
2000,AC,GCC,ND
2000,DC,GCC,ND
2001,AC,GCC,ND
2001,DC,GCC,ND
2002,AC,GCC,ND
2002,DC,GCC,ND
2003,AC,GCC,ND
2003,DC,GCC,ND
2004,AC,GCC,ND
2004,DC,GCC,ND
2005,AC,GCC,ND
2005,DC,GCC,ND
2006,AC,GCC,ND
2006,DC,GCC,ND
2007,AC,GCC,ND
2007,DC,GCC,ND
2008,AC,GCC,ND
2008,DC,GCC,ND
2009,AC,GCC,14760
2009,DC,GCC,14086
2010,AC,GCC,14758
2010,DC,GCC,13963
2011,AC,GCC,14654
2011,DC,GCC,13947
2012,AC,GCC,14480
2012,DC,GCC,13826
2013,DC,GCC,13962
2013,AC,GCC,14817
2014,DC,GCC,13799
2014,AC,GCC,14889
2015,DC,GCC,13681
2015,AC,GCC,14497
1980,AC,China,ND
1980,DC,China,ND
1981,AC,China,ND
1981,DC,China,ND
1982,AC,China,ND
1982,DC,China,ND
1983,AC,China,ND
1983,DC,China,ND
1984,AC,China,ND
1984,DC,China,ND
1985,AC,China,ND
1985,DC,China,ND
1986,AC,China,ND
1986,DC,China,ND
1987,AC,China,ND
1987,DC,China,ND
1988,AC,China,ND
1988,DC,China,ND
1989,AC,China,ND
1989,DC,China,ND
1990,AC,China,ND
1990,DC,China,ND
1991,AC,China,ND
1991,DC,China,ND
1992,AC,China,ND
1992,DC,China,ND
1993,AC,China,ND
1993,DC,China,ND
1994,AC,China,ND
1994,DC,China,ND
1995,AC,China,16600
1995,DC,China,14530
1996,AC,China,16065
1996,DC,China,14487
1997,AC,China,15858
1997,DC,China,14178
1998,AC,China,15473
1998,DC,China,14123
1999,AC,China,15603
1999,DC,China,14342
2000,AC,China,15479
2000,DC,China,14214
2001,AC,China,15470
2001,DC,China,13734
2002,AC,China,15362
2002,DC,China,13781
2003,AC,China,15026
2003,DC,China,13672
2004,AC,China,14794
2004,DC,China,13584
2005,AC,China,14574
2005,DC,China,13524
2006,AC,China,14697
2006,DC,China,13524
2007,AC,China,14441
2007,DC,China,13413
2008,AC,China,14283
2008,DC,China,13333
2009,AC,China,14171
2009,DC,China,13118
2010,AC,China,13979
2010,DC,China,13084
2011,AC,China,13913
2011,DC,China,13082
2012,AC,China,13844
2012,DC,China,13014
2013,DC,China,12969
2013,AC,China,13740
2014,DC,China,12870
2014,AC,China,13596
2015,DC,China,12875
2015,AC,China,13562
1980,AC,World,16951
1980,DC,World,ND
1981,AC,World,16776
1981,DC,World,ND
1982,AC,World,16694
1982,DC,World,ND
1983,AC,World,16825
1983,DC,World,ND
1984,AC,World,16676
1984,DC,World,ND
1985,AC,World,16580
1985,DC,World,ND
1986,AC,World,16419
1986,DC,World,ND
1987,AC,World,16328
1987,DC,World,ND
1988,AC,World,16298
1988,DC,World,ND
1989,AC,World,16253
1989,DC,World,ND
1990,AC,World,16083
1990,DC,World,ND
1991,AC,World,15984
1991,DC,World,ND
1992,AC,World,15841
1992,DC,World,ND
1993,AC,World,15689
