"Year","Region","ecoinvent_activity","value"
2007,"GLO","electricity production, coal, aluminium industry",0.432773396031595
2008,"CA-QC","electricity production, coal, aluminium industry",0
2008,"CN","electricity production, coal, aluminium industry",0.899997938526871
2008,"IAI Area, Africa","electricity production, coal, aluminium industry",0.78022843639228
2008,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.619774243777013
2008,"IAI Area, South America","electricity production, coal, aluminium industry",0
2008,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.83811157665534
2008,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2008,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.168614620629107
2008,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.168614620629107
2008,"UN-OCEANIA","electricity production, coal, aluminium industry",0.781848262822028
2008,"GLO","electricity production, coal, aluminium industry",0.439333626566967
2009,"CA-QC","electricity production, coal, aluminium industry",0
2009,"CN","electricity production, coal, aluminium industry",0.899997937251181
2009,"IAI Area, Africa","electricity production, coal, aluminium industry",0.798643903620293
2009,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.741372484618016
2009,"IAI Area, South America","electricity production, coal, aluminium industry",0
2009,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.974062790894474
2009,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2009,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.1057372266373
2009,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.1057372266373
2009,"UN-OCEANIA","electricity production, coal, aluminium industry",0.643842026453706
2009,"GLO","electricity production, coal, aluminium industry",0.437800785009813
2010,"CA-QC","electricity production, coal, aluminium industry",0
2010,"CN","electricity production, coal, aluminium industry",0.9
2010,"IAI Area, Africa","electricity production, coal, aluminium industry",0.56332936979786
2010,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.651801861185899
2010,"IAI Area, South America","electricity production, coal, aluminium industry",0
2010,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.622504952003657
2010,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2010,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.109053416970336
2010,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.109053416970336
2010,"UN-OCEANIA","electricity production, coal, aluminium industry",0.77463389347272
2010,"GLO","electricity production, coal, aluminium industry",0.446776041953853
2011,"CA-QC","electricity production, coal, aluminium industry",0
2011,"CN","electricity production, coal, aluminium industry",0.900000716173343
2011,"IAI Area, Africa","electricity production, coal, aluminium industry",0.537098820544147
2011,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.550017086842666
2011,"IAI Area, South America","electricity production, coal, aluminium industry",0
2011,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.754163856171847
2011,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2011,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.0879320591553906
2011,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.0879320591553906
2011,"UN-OCEANIA","electricity production, coal, aluminium industry",0.76394143298582
2011,"GLO","electricity production, coal, aluminium industry",0.472429975477848
2012,"CA-QC","electricity production, coal, aluminium industry",0
2012,"CN","electricity production, coal, aluminium industry",0.899998772275526
2012,"IAI Area, Africa","electricity production, coal, aluminium industry",0.520874853083959
2012,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.523626602620704
2012,"IAI Area, South America","electricity production, coal, aluminium industry",0
2012,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.91450748879414
2012,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2012,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.0723538015240035
2012,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.0723538015240035
