Year,Region,source,value
1999,Europe,Oil,0.830481968
1999,Oceania,Oil,0.115065105
1999,GLO,Oil,0.305068485
2000,North America,Oil,0.035673433
2000,China,Oil,0.045600917
2000,South America,Oil,0.768982371
2000,Africa & Asia,Oil,0.379054395
2000,Europe,Oil,0.829280022
2000,Oceania,Oil,0.108112897
2000,GLO,Oil,0.306127234
2001,North America,Oil,0.094471093
2001,China,Oil,0.045600917
2001,South America,Oil,0.765416725
2001,Africa & Asia,Oil,0.407242711
2001,Europe,Oil,0.830120373
2001,Oceania,Oil,0.115245406
2001,GLO,Oil,0.308032742
2002,North America,Oil,0.094471093
2002,China,Oil,0.045600917
2002,South America,Oil,0.765416725
2002,Africa & Asia,Oil,0.407242711
2002,Europe,Oil,0.830120373
2002,Oceania,Oil,0.115245406
2002,GLO,Oil,0.308032742
2003,North America,Oil,0.097038543
2003,China,Oil,0.045600917
2003,South America,Oil,0.781086371
2003,Africa & Asia,Oil,0.529630726
2003,Europe,Oil,0.744746759
2003,Oceania,Oil,0.115268322
2003,GLO,Oil,0.312731623
2004,North America,Oil,0.103918015
2004,China,Oil,0.045600917
2004,South America,Oil,0.692635934
2004,Africa & Asia,Oil,0.305650806
2004,Europe,Oil,0.539030985
2004,Oceania,Oil,0.114154836
2004,GLO,Oil,0.259555543
2005,North America,Oil,0.093621465
2005,China,Oil,0.045600917
2005,South America,Oil,0.731467734
2005,Africa & Asia,Oil,0.333767342
2005,Europe,Oil,0.734897745
2005,Oceania,Oil,0.089683707
2005,GLO,Oil,0.274703731
2006,North America,Oil,0.060007307
2006,China,Oil,0.045600917
2006,South America,Oil,0.748840554
2006,Africa & Asia,Oil,0.357483949
2006,Europe,Oil,0.260231423
2006,Oceania,Oil,0.09776527
2006,GLO,Oil,0.232021227
2007,North America,Oil,0.075872293
2007,China,Oil,0.045600917
2007,South America,Oil,0.735112412
2007,Africa & Asia,Oil,0.49199582
2007,Europe,Oil,0.341790223
2007,Oceania,Oil,0.099538011
2007,GLO,Oil,0.20312923
2008,North America,Oil,0.066689264
2008,China,Oil,0.045600917
2008,South America,Oil,0.715014702
2008,Africa & Asia,Oil,0.3230532
2008,Europe,Oil,0.262306065
2008,Oceania,Oil,0.120852136
2008,GLO,Oil,0.192383442
2009,North America,Oil,0.041230693
2009,China,Oil,0.045600917
2009,South America,Oil,0.648055185
2009,Africa & Asia,Oil,0.376630504
2009,Europe,Oil,0.129277504
2009,Oceania,Oil,0.219693683
2009,GLO,Oil,0.171198189
2010,North America,Oil,0
2010,China,Oil,0.045600917
2010,South America,Oil,0.568534885
2010,Africa & Asia,Oil,0.398443419
2010,Europe,Oil,0.202344796
2010,Oceania,Oil,0.1362125
2010,GLO,Oil,0.150017911
2011,North America,Oil,0
2011,China,Oil,0.045600917
2011,South America,Oil,0.5607068
2011,Africa & Asia,Oil,0.22357852
2011,Europe,Oil,0.181986894
2011,Oceania,Oil,0.202800997
2011,GLO,Oil,0.148466241
2012,North America,Oil,6.99E-05
2012,China,Oil,0.045600917
2012,South America,Oil,0.599613325
2012,Africa & Asia,Oil,0.126051916
2012,Europe,Oil,0.153063484
2012,Oceania,Oil,0.103787583
2012,GLO,Oil,0.120920489
2013,North America,Oil,0.000423138
2013,China,Oil,0.045600917
2013,South America,Oil,0.658086565
2013,Africa & Asia,Oil,0.171763993
2013,Europe,Oil,0.130040944
2013,Oceania,Oil,0.105482018
2013,GLO,Oil,0.118444796
2014,North America,Oil,0.000365925
2014,China,Oil,0.045600917
2014,South America,Oil,0.638827734
2014,Africa & Asia,Oil,0.174813298
2014,Europe,Oil,0.105047189
2014,Oceania,Oil,0.071689537
2014,GLO,Oil,0.10806127
2015,North America,Oil,0
2015,China,Oil,0.045600917
2015,South America,Oil,0.647085718
2015,Africa & Asia,Oil,0.185812178
2015,Europe,Oil,0.00160138
2015,Oceania,Oil,0.019860004
2015,GLO,Oil,0.095637136
2016,North America,Oil,0.000707807
2016,China,Oil,0.045600917
2016,South America,Oil,0.631764582
2016,Africa & Asia,Oil,0.186767496
2016,Europe,Oil,0.000278041
2016,Oceania,Oil,0.022216659
2016,GLO,Oil,0.094520728
2017,North America,Oil,0.001291644
2017,China,Oil,0.045600917
2017,South America,Oil,0.620701055
2017,Africa & Asia,Oil,0.205428159
2017,Europe,Oil,0.000171395
2017,Oceania,Oil,0.011139163
2017,GLO,Oil,0.090023818
2018,North America,Oil,0
2018,China,Oil,0.045600917
2018,South America,Oil,0.576614672
2018,Africa & Asia,Oil,0.164750958
2018,Europe,Oil,0.000278208
2018,Oceania,Oil,0.002001884
2018,GLO,Oil,0.074861796
1985,North America,Gas,0.870147605
1985,China,Gas,0
1985,South America,Gas,2.79E-05
1985,Africa & Asia,Gas,0
1985,Europe,Gas,0.236020766
1985,Oceania,Gas,0.416575738
1985,GLO,Gas,0.382055687
1986,North America,Gas,0.879724163
1986,China,Gas,0
1986,South America,Gas,0.193133757
1986,Africa & Asia,Gas,0
1986,Europe,Gas,0.223873273
1986,Oceania,Gas,0.450561153
1986,GLO,Gas,0.398140185
1987,North America,Gas,0.938746146
1987,China,Gas,0
1987,South America,Gas,0.196113958
1987,Africa & Asia,Gas,0
1987,Europe,Gas,0.202047886
1987,Oceania,Gas,0.458225922
1987,GLO,Gas,0.425159749
1988,North America,Gas,0.945302268
1988,China,Gas,0
1988,South America,Gas,0.205252885
1988,Africa & Asia,Gas,0
1988,Europe,Gas,0.184394013
1988,Oceania,Gas,0.468911487
1988,GLO,Gas,0.425366029
1989,North America,Gas,0.950902051
1989,China,Gas,0
1989,South America,Gas,0.165097793
1989,Africa & Asia,Gas,0
1989,Europe,Gas,0.145052814
1989,Oceania,Gas,0.466689638
1989,GLO,Gas,0.415476022
1990,North America,Gas,0.938822256
1990,China,Gas,0
1990,South America,Gas,0.157072396
1990,Africa & Asia,Gas,0
1990,Europe,Gas,0.10780835
1990,Oceania,Gas,0.50604238
1990,GLO,Gas,0.414096962
1991,North America,Gas,0.94011312
1991,China,Gas,0
1991,South America,Gas,0.156584263
1991,Africa & Asia,Gas,0.000447908
1991,Europe,Gas,0.118362749
1991,Oceania,Gas,0.566782487
1991,GLO,Gas,0.429518952
1992,North America,Gas,0.930940713
1992,China,Gas,0
1992,South America,Gas,0.137397148
1992,Africa & Asia,Gas,0
1992,Europe,Gas,0.124226239
1992,Oceania,Gas,0.562418228
1992,GLO,Gas,0.416073749
1993,North America,Gas,0.91811824
1993,China,Gas,0
1993,South America,Gas,0.14804214
1993,Africa & Asia,Gas,0
1993,Europe,Gas,0.112066049
1993,Oceania,Gas,0.557270236
1993,GLO,Gas,0.404844876
1994,North America,Gas,0.912695833
1994,China,Gas,0
1994,South America,Gas,0.156798267
1994,Africa & Asia,Gas,0.005090383
1994,Europe,Gas,0.112288789
1994,Oceania,Gas,0.554804622
1994,GLO,Gas,0.399447338
1995,North America,Gas,0.907972327
1995,China,Gas,0
1995,South America,Gas,0.164895692
1995,Africa & Asia,Gas,0
1995,Europe,Gas,0.102485054
1995,Oceania,Gas,0.583529238
1995,GLO,Gas,0.414312018
1996,North America,Gas,0.919312935
1996,China,Gas,0
1996,South America,Gas,0.166817522
1996,Africa & Asia,Gas,0
1996,Europe,Gas,0.007429015
1996,Oceania,Gas,0.579006299
1996,GLO,Gas,0.406846333
1997,North America,Gas,0.898691923
1997,China,Gas,0
1997,South America,Gas,0.162586628
1997,Africa & Asia,Gas,0
1997,Europe,Gas,0.005939977
1997,Oceania,Gas,0.59620709
1997,GLO,Gas,0.388069459
1998,North America,Gas,0.88555679
1998,China,Gas,0.125997753
1998,South America,Gas,0.137588708
1998,Africa & Asia,Gas,0
1998,Europe,Gas,0.007468601
1998,Oceania,Gas,0.592102763
1998,GLO,Gas,0.31684176
1999,North America,Gas,0.873419947
1999,China,Gas,0.12599668
1999,South America,Gas,0.135827688
1999,Africa & Asia,Gas,0
1999,Europe,Gas,0.00720345
1999,Oceania,Gas,0.59059904
1999,GLO,Gas,0.314883132
2000,North America,Gas,0.872118498
2000,China,Gas,0.126001853
2000,South America,Gas,0.145108382
2000,Africa & Asia,Gas,0
2000,Europe,Gas,0.008175323
2000,Oceania,Gas,0.604529139
2000,GLO,Gas,0.318888466
2001,North America,Gas,0.807043676
2001,China,Gas,0.126001853
2001,South America,Gas,0.16668233
2001,Africa & Asia,Gas,0
2001,Europe,Gas,0.007444113
2001,Oceania,Gas,0.605216271
2001,GLO,Gas,0.308951498
2002,North America,Gas,0.807043676
2002,China,Gas,0.126001853
2002,South America,Gas,0.16668233
2002,Africa & Asia,Gas,0
2002,Europe,Gas,0.007444113
2002,Oceania,Gas,0.605216271
2002,GLO,Gas,0.308951498
2003,North America,Gas,0.837570473
2003,China,Gas,0.126001853
2003,South America,Gas,0.138724984
2003,Africa & Asia,Gas,0
2003,Europe,Gas,0.052340806
2003,Oceania,Gas,0.555253306
2003,GLO,Gas,0.298250434
2004,North America,Gas,0.829802745
2004,China,Gas,0.126001853
2004,South America,Gas,0.198114841
2004,Africa & Asia,Gas,0
2004,Europe,Gas,0.198601445
2004,Oceania,Gas,0.545219012
2004,GLO,Gas,0.310189857
2005,North America,Gas,0.850241003
2005,China,Gas,0.126001853
2005,South America,Gas,0.177465699
2005,Africa & Asia,Gas,0
2005,Europe,Gas,0.057089342
2005,Oceania,Gas,0.559017251
2005,GLO,Gas,0.30157745
2006,North America,Gas,0.884810936
2006,China,Gas,0.126001853
2006,South America,Gas,0.158008269
2006,Africa & Asia,Gas,0.000421348
2006,Europe,Gas,0.475248488
2006,Oceania,Gas,0.563018436
2006,GLO,Gas,0.327192283
2007,North America,Gas,0.658265827
2007,China,Gas,0.126001853
2007,South America,Gas,0.165012144
2007,Africa & Asia,Gas,0.035109718
2007,Europe,Gas,0.409105048
2007,Oceania,Gas,0.58366158
2007,GLO,Gas,0.278827085
2008,North America,Gas,0.660588086
2008,China,Gas,0.126001853
2008,South America,Gas,0.150245038
2008,Africa & Asia,Gas,0.000954584
2008,Europe,Gas,0.405509849
2008,Oceania,Gas,0.540849845
2008,GLO,Gas,0.259607984
2009,North America,Gas,0.540888142
2009,China,Gas,0.126001853
2009,South America,Gas,0.131924454
2009,Africa & Asia,Gas,0.000928701
2009,Europe,Gas,0.5371198
2009,Oceania,Gas,0.409514832
2009,GLO,Gas,0.248012347
2010,North America,Gas,0.698325182
2010,China,Gas,0.126001853
2010,South America,Gas,0.190058545
2010,Africa & Asia,Gas,0.020283766
2010,Europe,Gas,0.461232402
2010,Oceania,Gas,0.605492168
2010,GLO,Gas,0.262357935
2011,North America,Gas,0.694000344
2011,China,Gas,0.126001853
2011,South America,Gas,0.165866558
2011,Africa & Asia,Gas,0.013312274
2011,Europe,Gas,0.486143397
2011,Oceania,Gas,0.530805448
2011,GLO,Gas,0.253713436
2012,North America,Gas,0.926674594
2012,China,Gas,0.126001853
2012,South America,Gas,0.151183485
2012,Africa & Asia,Gas,0.0126357
2012,Europe,Gas,0.577101924
2012,Oceania,Gas,0.573888714
2012,GLO,Gas,0.26458478
2013,North America,Gas,0.70779984
2013,China,Gas,0.126001853
2013,South America,Gas,0.077948047
2013,Africa & Asia,Gas,0.009014465
2013,Europe,Gas,0.578921296
2013,Oceania,Gas,0.557750733
2013,GLO,Gas,0.259522882
2014,North America,Gas,0.737470726
2014,China,Gas,0.126001853
